20250929,0900,1800,480,0,2025-09-30T11:05:34.384659
20250930,0900,1800,480,0,2025-09-30T11:16:05.718246
20250928,0900,1800,480,0,2025-09-30T18:48:07.439364
20250927,0900,2000,540,60,2025-09-30T18:48:17.555630
20251001,0900,1900,480,0,2025-09-30T19:05:17.881313
20251003,0800,1900,540,60,2025-10-02T14:48:19.783986
20251004,0900,1800,480,0,2025-10-02T15:40:37.200590
20251005,0900,2000,540,60,2025-10-06T19:51:21.014696
20251006,0900,1800,480,0,2025-10-06T19:51:37.597499
20251007,0900,1900,480,0,2025-10-07T09:40:47.635293
20251008,0900,1900,480,0,2025-10-07T11:02:17.995146
20251009,0900,1800,480,0,2025-10-07T11:09:38.578541
