2024-10-01,09:00,18:00,480,0,2024-10-23T15:12:15.998188
2024-10-02,07:00,21:00,720,240,2024-10-23T15:12:44.873848
2024-10-03,09:00,15:00,508,28,2024-10-23T15:14:06.422386
2024-10-04,05:00,20:00,720,240,2024-10-23T15:14:58.287448
2024-10-05,09:00,21:40,600,120,2024-10-23T15:16:24.356285
2024-10-06,09:00,12:45,180,0,2024-10-23T15:17:44.511919
2024-10-07,05:00,20:00,780,300,2024-10-23T16:01:19.245079
2024-11-25,05:00,20:00,780,300,2024-10-23T16:01:19.245079
2024-10-08,07:00,21:00,720,240,2024-10-25T16:31:23.791116
2024-10-10,08:00,18:00,540,60,2024-10-29T15:18:09.078
